id_client;age;sexe;formule;date_demande;usage_vehicule;age_vehicule;type_vehicule;points_perdus;type_conduite;présence d'enfants;intrevalles _revenus;intevalles_devis;conduite _accompagne
127724110;24;F;dev_integral;25/02/2022;Commercial;7;Sports Car;0;Highly Urban/ Urban;Oui;100k-150k;300€-600€;Non
127724117;92;F;dev_express;24/05/2022;Private;1;Minivan;2;Highly Urban/ Urban;Oui;50k-100k;0€-300€;Oui
127724124;45;F;dev_express;24/01/2022;Private;4;Pickup;0;z_Highly Rural/ Rural;Oui;0-50k;0€-300€;Non
127724131;3;F;dev_integral;20/04/2022;Private;5;z_SUV;3;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724138;68;M;dev_vip;23/03/2022;Commercial;12;Panel Truck;2;Highly Urban/ Urban;Non;0-50k;600€-900€;Non
127724145;32;F;dev_premium;23/03/2022;Private;15;z_SUV;2;z_Highly Rural/ Rural;Oui;50k-100k;300€-600€;Non
127724152;83;F;dev_express;13/03/2022;Commercial;9;Minivan;0;z_Highly Rural/ Rural;Oui;100k-150k;0€-300€;Oui
127724159;68;M;dev_premium;09/03/2022;Private;10;z_SUV;1;Highly Urban/ Urban;Non;50k-100k;300€-600€;Non
127724166;68;M;dev_premium;29/01/2022;Private;14;Minivan;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724173;50;F;dev_integral;26/03/2022;Commercial;10;Panel Truck;1;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724180;57;F;dev_express;26/05/2022;Private;10;Minivan;0;Highly Urban/ Urban;Oui;0-50k;0€-300€;Oui
127724187;7;M;dev_premium;27/01/2022;Private;1;z_SUV;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724194;73;F;dev_express;08/05/2022;Private;18;z_SUV;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724201;7;M;dev_integral;02/05/2022;Commercial;6;Van;5;z_Highly Rural/ Rural;Non;0-50k;300€-600€;Non
127724208;78;M;dev_integral;15/04/2022;Private;1;Minivan;0;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724215;86;M;dev_express;11/05/2022;Private;13;Minivan;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724222;51;F;dev_integral;12/04/2022;Private;15;z_SUV;0;Highly Urban/ Urban;Non;100k-150k;300€-600€;Non
127724229;88;F;dev_express;04/03/2022;Commercial;8;Van;1;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724236;69;F;dev_express;05/02/2022;Private;11;Minivan;0;Highly Urban/ Urban;Non;50k-100k;0€-300€;Non
127724243;84;F;dev_integral;25/04/2022;Private;10;z_SUV;0;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724250;36;M;dev_express;20/03/2022;Private;16;Minivan;0;z_Highly Rural/ Rural;Oui;50k-100k;0€-300€;Non
127724257;92;M;dev_premium;27/03/2022;Private;16;Minivan;1;Highly Urban/ Urban;Oui;0-50k;300€-600€;Oui
127724264;24;F;dev_premium;16/05/2022;Commercial;7;Van;0;Highly Urban/ Urban;Non;0-50k;300€-600€;Non
127724271;83;F;dev_premium;06/02/2022;Commercial;1;Sports Car;5;Highly Urban/ Urban;Oui;0-50k;300€-600€;Non
127724278;19;M;dev_express;27/04/2022;Commercial;1;Pickup;1;Highly Urban/ Urban;Non;0-50k;0€-300€;Non
127724285;67;M;dev_express;13/04/2022;Private;1;Minivan;1;z_Highly Rural/ Rural;Non;0-50k;0€-300€;Non
